,star_name,distance,mass,radius,gravity
101,2MASS J00345157+0523050,31,8.35E+31,653958000,1.93709E+15
102,2MASS 0036+1821,28.6,8.35E+31,653958000,1.93709E+15
103,2MASSW J0045214+163445,57,4.57E+31,1127034000,3.57152E+14
104,WISEP J004701.06+680352.1 [fr],40,2.39E+31,904410000,2.89368E+14
105,2MASS J00501994-3322402 [de],34,7.96E+31,653958000,1.84484E+15
106,2MASS J00584253-0651239 [de],96,5.77E+31,994851000,5.77938E+14
107,2MASSI J0103320+193536,70,1.03E+32,681786000,2.20651E+15
108,SDSSp J010752.33+004156.1 [de],51,1.03E+32,681786000,2.20651E+15
109,2MASSI J0117474-340325 [de],163,3.98E+31,1127034000,3.10567E+14
110,2MASS J01415823-4633574 [de],130,3.98E+31,1120077000,3.14437E+14
111,SDSS J015141.69+124429.6,70,9.35E+31,674829000,2.03568E+15
112,SDSS J020742.48+000056.2 [de],111,9.35E+31,674829000,2.03568E+15
113,2MASS J02103857-3015313,101,2.98E+31,1064421000,2.61134E+14
114,2MASS J02340093-6442068,155,3.98E+31,1127034000,3.10567E+14
115,2MASS J02411151-0326587 [de],152,5.37E+31,980937000,5.53453E+14
116,2MASS J02431371−2453298,35,6.56E+31,688743000,1.37214E+15
117,LP 771-21,53,1.55E+32,751356000,2.72522E+15
118,Teegarden's star,12.578,1.59E+32,883539000,2.02133E+15
119,2MASS J02535980+3206373,184,1.29E+32,1321830000,7.33772E+14
120,WISE J0254+0223,24,1.29E+32,1321830000,7.33772E+14
121,DEN 0255-4700,16.2,1.59E+32,674829000,3.46499E+15
122,2MASS J03185403-3421292 [de],45,9.75E+31,674829000,2.12231E+15
123,2MASS J03205965+1854233,47,1.75E+32,800055000,2.7117E+15
124,2MASS J03231002-4631237,192,4.57E+31,1154862000,3.40147E+14
125,SDSS J032553.17+042540.1,59,8.95E+31,660915000,2.03199E+15
126,2MASS J03264225-2102057 [de],80,3.58E+31,904410000,4.34051E+14
127,2MASS J03284265+2302051 [de],98,1.07E+32,681786000,2.29138E+15
128,2MASS J03341218-4953322,27,1.45E+32,723528000,2.7505E+15
129,LP 944-20,20.9,1.45E+32,994851000,1.45481E+15
130,2MASP J0345432+254023,88,1.47E+32,730485000,2.73532E+15
131,Teide 1,380,1.09E+32,2629746000,1.56868E+14
132,2MASS J03510004-0052452,48,2.03E+32,883539000,2.5772E+15
133,2MASS J03552337+1133437,29.8,3.98E+31,918324000,4.67775E+14
134,2MASS J04151954−0935066,18.6,5.97E+31,660915000,1.35466E+15
135,2MASS J04285096-2253227 [de],85,1.59E+32,758313000,2.74405E+15
136,2MASS J04351612-1606574,34,1.99E+32,876582000,2.56693E+15
137,2MASS J04362788-4114465,142,7.76E+31,1370529000,4.09532E+14
138,2MASS J04390101-2353083 [de],29.5,9.55E+31,674829000,2.07899E+15
139,2MASS J04433764+0002040,82,4.38E+31,1238346000,2.82968E+14
140,2MASS J04455387-3048204 [de],42,1.27E+32,695700000,2.60817E+15
141,2MASS J04510093-3402150 [de],69,2.07E+30,50090400000,8175674797
142,2MASS J05002100+0330501 [de],44,1.27E+32,695700000,2.60817E+15
143,2MASS J05012406-0010452 [de],64,4.18E+31,960066000,4.49383E+14
144,2MASS J05160945-0445499 [de],73,9.35E+31,674829000,2.03568E+15
145,2MASS J0523−1403,40,1.35E+32,702657000,2.71657E+15
146,SDSS J053951.99-005902.0,41.62,1.21E+32,702657000,2.43693E+15
147,LSR 0602+3910 [de],34.6,5.57E+31,980937000,5.73951E+14
148,2MASS J06085283-2753583,102,7.56E+31,1050507000,6.7918E+14
149,2MASS J06244595-4521548 [de],39,1.11E+32,688743000,2.32848E+15
150,2MASS J06411840-4322329 [de],65,1.33E+32,702657000,2.67662E+15
151,DENIS-P J0652197-253450 [de],51,1.49E+32,730485000,2.77229E+15
152,2MASS J07075327-4900503,60,1.43E+32,716571000,2.76575E+15
153,UGPS J072227.51-054031.2,13.4,5.17E+31,681786000,1.10326E+15
154,2MASSI J0727182+171001 [de],29.6,8.15E+31,653958000,1.89096E+15
155,2MASS J07290002-3954043 [de],25.8,7.36E+31,653958000,1.70648E+15
156,SDSS J074201.41+205520.5 [de],49,8.55E+31,653958000,1.98321E+15
157,DENIS-P J0751164-253043 [de],55,1.41E+32,716571000,2.72734E+15
158,2MASS J07522390+1612157,60,4.00E+30,47307600000,17714687434
159,DENIS J081730.0-615520,16.1,8.75E+31,653958000,2.02933E+15
160,2MASS J08251968+2115521 [de],35,1.03E+32,681786000,2.20651E+15
161,SDSSp J083008.12+482847.4 [de],43,9.55E+31,688743000,1.99584E+15
162,LHS 2021,55,1.75E+32,800055000,2.7117E+15
163,SDSS J083048.80+012831.1 [de],77,9.15E+31,667872000,2.03409E+15
164,2MASSI J0835425-081923 [de],23.53,1.23E+32,695700000,2.52666E+15
165,2MASSI J0847287-153237 [de],43,1.27E+32,695700000,2.60817E+15
166,2MASS J08533619-0329321,27.6,1.53E+32,744399000,2.74081E+15
167,2MASSI J0859254-194926 [de],50,9.95E+31,681786000,2.12165E+15
168,2MASSI J0937347+293142,20,8.35E+31,653958000,1.93709E+15
169,2MASS 0939−2448,17.4,6.36E+31,660915000,1.44497E+15
170,2MASS J09490860-1545485 [de],59,9.75E+31,667872000,2.16675E+15
171,2MASS J10073369-4555147,46,8.75E+31,653958000,2.02933E+15
172,2MASSI J1010148-040649 [de],55,1.01E+32,681786000,2.16408E+15
173,2MASS J10224821+5825453 [de],60,5.37E+31,980937000,5.53453E+14
174,2MASSW J1036530-344138 [de],53,9.75E+31,674829000,2.12231E+15
175,2MASS J1047538+212423 [de],34.4,8.35E+31,653958000,1.93709E+15
176,DEN 1048-3956,13.15,1.53E+32,744399000,2.74081E+15
177,Luhman 16B,6.516,8.55E+31,709614000,1.68432E+15
178,Luhman 16A,6.516,7.96E+31,702657000,1.59798E+15
179,DENIS-P J1058.7−1548,49,1.27E+32,695700000,2.60817E+15
180,TWA 28,180,7.16E+31,1662723000,2.5684E+14
181,Cha 110913-773444,163,1.59E+31,1252260000,1.00624E+14
182,SDSS J111010.01+011613.1,63,1.79E+31,862668000,2.38536E+14
183,2MASS J11145133−2618235,18.2,6.56E+31,667872000,1.45924E+15
184,TWA 26,137,5.97E+31,1530540000,2.52599E+14
185,2MASS J11544223-3400390 [de],129,7.36E+31,1043550000,6.70154E+14
186,2MASSW J1155395-372735 [de],31,1.27E+32,695700000,2.60817E+15
187,2MASS J12074836-3900043,217,3.38E+31,1189647000,2.36926E+14
188,2MASSI J1217110-031113 [de],36,8.35E+31,653958000,1.93709E+15
189,2M 1237+6526,45.6,8.15E+31,653958000,1.89096E+15
190,TWA 29,262,3.98E+30,17392500000,1.30408E+11
191,SDSSp J125453.90-012247.4 [de],38,9.35E+31,681786000,1.99435E+15
192,Kelu-1A,61,1.25E+32,681786000,2.67328E+15
193,Kelu-1B,61,1.15E+32,681786000,2.46111E+15
194,2MASS J13204427+0409045,101,1.33E+32,702657000,2.67662E+15
195,SDSSp J132629.82-003831.5 [de],65,1.01E+32,674829000,2.20893E+15
196,SDSSp J134646.45-003150.4 [de],48,8.75E+31,653958000,2.02933E+15
197,2MASS J13595510-4034582,51,1.25E+32,695700000,2.56741E+15
198,ULAS J141623.94+134836.3,29.7,6.36E+31,667872000,1.41502E+15
199,SDSS J141659.78+500626.4 [de],149,1.17E+32,688743000,2.45322E+15
200,DENIS-P J142527.97-365023.4 [de],38,4.18E+31,918324000,4.91164E+14
201,LHS 2924,38.5,1.51E+32,737442000,2.75649E+15
202,2MASS J14392837+1929150,47,1.43E+32,716571000,2.76575E+15
203,LSPM J1440+1339,72,1.83E+32,827883000,2.64758E+15
204,2MASS J14482563+1031590 [de],47,1.17E+32,688743000,2.45322E+15
205,CFBDSIR 1458+10A,104,2.21E+31,1043550000,2.01046E+14
206,CFBDSIR 1458+10B,104,1.79E+31,904410000,2.17026E+14
207,TVLM 513-46546,35.1,1.49E+32,730485000,2.77229E+15
208,2MASS 1503+2525,20.7,8.75E+31,653958000,2.02933E+15
209,CFBDS J150411+102717,71,8.75E+31,653958000,2.02933E+15
210,2MASSW J1506544+132106 [de],46,1.37E+32,709614000,2.70274E+15
211,2MASS 1507−1627,23.9,1.19E+32,688743000,2.4948E+15
212,TVLM 868-110639,53,1.57E+32,751356000,2.76016E+15
213,2MASSW J1515008+484742 [de],34,1.13E+32,688743000,2.37006E+15
214,2MASSI J1526140+204341 [de],67,1.07E+32,681786000,2.29138E+15
215,DENIS-P J153941.96-052042.4 [de],51,1.25E+32,695700000,2.56741E+15
216,2MASS J15462718-3325111 [de],37,8.75E+31,653958000,2.02933E+15
217,2MASSW J1552591+294849 [de],68,5.97E+31,994851000,5.97867E+14
218,2MASSW J1555157-095605 [de],44,1.41E+32,716571000,2.72734E+15
219,2MASS J16150413+1340079 [de],48,8.35E+31,653958000,1.93709E+15
220,SDSSp J162414.37+002915.6 [de],36,8.55E+31,653958000,1.98321E+15
221,2MASS J16262034+3925190 [de],110,1.41E+32,716571000,2.72734E+15
222,2MASSW J1632291+190441 [de],50,9.75E+31,674829000,2.12231E+15
223,WISEPA J164715.59+563208.2,28,8.15E+31,653958000,1.89096E+15
224,LSPM J1658+7027 [de],60,1.45E+32,723528000,2.7505E+15
225,2MASSI J1726000+153819,114,4.77E+31,973980000,4.99011E+14
226,SDSSp J175032.96+175903.9,90,9.35E+31,674829000,2.03568E+15
227,2MASS J18283572-4849046,39,8.95E+31,660915000,2.03199E+15
228,LSR J1835+3259,18.5,1.53E+32,744399000,2.74081E+15
229,2MASSW J1841086+311727,138,1.33E+32,702657000,2.67662E+15
230,2MASS J18432213+4040209,46,1.91E+32,848754000,2.62849E+15
231,2MASS J20004841-7523070,105,4.97E+31,1307916000,2.88257E+14
232,SDSS J204749.61-071818.3,65,9.15E+31,667872000,2.03409E+15
233,2MASSI J2057540-025230,47,1.39E+32,709614000,2.74191E+15
234,2MASSI J2104149-103736,62,1.37E+32,709614000,2.70274E+15
235,PSO J318.5−22,80,1.29E+31,1064421000,1.13158E+14
